from_id,to_id,relationship_type,confidence,source_url,notes
TECH-ISO-IEC-TR-80002-1-2009-2009,TECH-ISO-ISO-14971-2019-2019,references,source-confirmed,https://www.iso.org/standard/54146,Extracted from ISO source metadata text referencing ISO 14971.
TECH-ISO-IEC-TR-80002-3-2014-2014,TECH-ISO-ISO-IEC-IEEE-12207-2026-2026,references,source-confirmed,https://www.iso.org/standard/65624,Extracted from ISO source metadata text referencing ISO/IEC 12207.
TECH-ISO-IEC-TR-80002-3-2014-2014,TECH-ISO-ISO-IEC-IEEE-24774-2021-2021,references,source-confirmed,https://www.iso.org/standard/65624,Extracted from ISO source metadata text referencing ISO/IEC 24774.
TECH-ISO-IEC-TS-81001-2-2-2025-2025,TECH-ISO-ISO-81001-1-2021-2021,references,source-confirmed,https://www.iso.org/standard/85765,Extracted from ISO source metadata text referencing ISO 81001-1.
TECH-ISO-IEC-TS-81001-2-2-2025-2025,TECH-ISO-ISO-IEC-27002-2022-2022,references,source-confirmed,https://www.iso.org/standard/85765,Extracted from ISO source metadata text referencing ISO/IEC 27002.
TECH-ISO-IEC-TS-81001-2-2-2025-2025,TECH-ISO-ISO-IEEE-11073-40102-2022-2022,references,source-confirmed,https://www.iso.org/standard/85765,Extracted from ISO source metadata text referencing ISO 11073-40102.
TECH-ISO-ISO-10005-2005-2005,TECH-ISO-ISO-9001-2015-AMD-1-2024-2024,references,source-confirmed,https://www.iso.org/standard/37006,Extracted from ISO source metadata text referencing ISO 9001.
TECH-ISO-ISO-10005-2018-2018,TECH-ISO-ISO-9001-2015-AMD-1-2024-2024,references,source-confirmed,https://www.iso.org/standard/70398,Extracted from ISO source metadata text referencing ISO 9001.
TECH-ISO-ISO-10006-2003-2003,TECH-ISO-ISO-9004-2018-2018,references,source-confirmed,https://www.iso.org/standard/36643,Extracted from ISO source metadata text referencing ISO 9004.
TECH-ISO-ISO-10006-2017-2017,TECH-ISO-ISO-21500-2021-2021,references,source-confirmed,https://www.iso.org/standard/70376,Extracted from ISO source metadata text referencing ISO 21500.
