id,type,url,version,name,jurisdiction,fhirVersion,source_archive
bd-upazillas,StructureDefinition,https://fhir.dghs.gov.bd/core/StructureDefinition/bd-upazillas,0.4.2,Upazillas,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
icd11-cluster-expression,StructureDefinition,https://fhir.dghs.gov.bd/core/StructureDefinition/icd11-cluster-expression,0.4.2,ICD11ClusterExpression,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
language,StructureDefinition,https://fhir.dghs.gov.bd/core/StructureDefinition/language,0.4.2,Language,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
nationality,StructureDefinition,https://fhir.dghs.gov.bd/core/StructureDefinition/nationality,0.4.2,Nationality,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
occupation-bd,StructureDefinition,https://fhir.dghs.gov.bd/core/StructureDefinition/occupation-bd,0.4.2,Occupation,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-blood-group-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-blood-group-valueset,0.4.2,BDBloodGroupVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-city-corporation-code-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-city-corporation-code-valueset,0.4.2,BDCityCorporationsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-condition-icd11-diagnosis-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-condition-icd11-diagnosis-valueset,0.4.2,BDConditionICD11DiagnosisVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-country-list-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-country-list-valueset,0.4.2,BDCountryListVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-district-code-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-district-code-valueset,0.4.2,BDDistrictsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-division-code-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-division-code-valueset,0.4.2,BDDivisionsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-encounter-class-subset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-encounter-class-subset,0.4.2,BDEncounterClassSubsetVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-encounter-status-subset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-encounter-status-subset,0.4.2,BDEncounterStatusSubsetVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-identifier-type-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-identifier-type-valueset,0.4.2,BangladeshIdentifierTypeVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-immunization-reaction-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-immunization-reaction-valueset,0.4.2,BDImmunizationReactionValueSet,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-immunization-route-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-immunization-route-valueset,0.4.2,BDImmunizationRouteVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-immunization-site-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-immunization-site-valueset,0.4.2,BDImmunizationSiteVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-language-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-language-valueset,0.4.2,BDLanguageVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-loinc-answer-lists-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-loinc-answer-lists-valueset,0.4.2,BDLoincAnswerListsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-loinc-lab-panels-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-loinc-lab-panels-valueset,0.4.2,BDLoincLabPanelsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-loinc-lab-results-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-loinc-lab-results-valueset,0.4.2,BDLoincLabResultsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-medication-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-medication-valueset,0.4.2,BDMedicationVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-municipalities-code-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-municipalities-code-valueset,0.4.2,BDMunicipalitiesVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-occupations-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-occupations-valueset,0.4.2,BDOccupationsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-religions-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-religions-valueset,0.4.2,BDReligionsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-route-of-administration,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-route-of-administration,0.4.2,BDRouteOfAdministrationVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-upazilla-code-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-upazilla-code-valueset,0.4.2,BDUpazillasVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-vaccine-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/bd-vaccine-valueset,0.4.2,BDVaccineVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-medication-dose-form,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/edqm-dose-forms,0.4.2,BDMedicationDoseFormVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
icd11-substances-valueset,ValueSet,https://fhir.dghs.gov.bd/core/ValueSet/icd11-substances-valueset,0.4.2,BDICD11SubstancesVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
