sigma_id,entry_type,meta_layer,domain,sub_domain,name_full,name_short,standard_id,issuer,issuer_type,governance_layer,geographic_scope,year_published,year_first,status,mandate,sector_applicability,why_it_matters,key_outputs,official_url,data_source,notes
ICT-WC-HTML5-2024,Standard,L3 Digital Infrastructure,ICT and web standards,Web specifications,HTML Standard,W3C HTML,html,W3C (World Wide Web Consortium),W3C,International,Global,2024,2024,Active,Voluntary,"Web development, browsers, digital standards",W3C standards define interoperable web technologies used by billions of users globally.,Technical Specification,https://html.spec.whatwg.org/,W3C Technical Reports (live harvest),W3C status: Living Standard
ICT-WC-DOM-2024,Standard,L3 Digital Infrastructure,ICT and web standards,Web specifications,DOM Standard,W3C DOM,dom,W3C (World Wide Web Consortium),W3C,International,Global,2024,2024,Active,Voluntary,"Web development, browsers, digital standards",W3C standards define interoperable web technologies used by billions of users globally.,Technical Specification,https://dom.spec.whatwg.org/,W3C Technical Reports (live harvest),W3C status: Living Standard
ICT-WC-CSS3-2024,Standard,L3 Digital Infrastructure,ICT and web standards,Web specifications,CSS Level 3 Specification,W3C CSS3,css3,W3C (World Wide Web Consortium),W3C,International,Global,2024,2024,Active,Voluntary,"Web development, browsers, digital standards",W3C standards define interoperable web technologies used by billions of users globally.,Technical Specification,https://www.w3.org/Style/CSS/,W3C Technical Reports (live harvest),W3C status: Recommendation
ICT-WC-SVG2-2018,Standard,L3 Digital Infrastructure,ICT and web standards,Web specifications,Scalable Vector Graphics (SVG) 2.0 Specification,W3C SVG2,svg2,W3C (World Wide Web Consortium),W3C,International,Global,2018,2018,Active,Voluntary,"Web development, browsers, digital standards",W3C standards define interoperable web technologies used by billions of users globally.,Technical Specification,https://www.w3.org/TR/SVG2/,W3C Technical Reports (live harvest),W3C status: Recommendation
ICT-WC-WebGL-2019,Standard,L3 Digital Infrastructure,ICT and web standards,Web specifications,WebGL 2.0 Specification,W3C WEBGL,webgl,W3C (World Wide Web Consortium),W3C,International,Global,2019,2019,Active,Voluntary,"Web development, browsers, digital standards",W3C standards define interoperable web technologies used by billions of users globally.,Technical Specification,https://www.khronos.org/webgl/specs/latest/2.0/,W3C Technical Reports (live harvest),W3C status: Active
ICT-WC-WCAG2-2018,Standard,L3 Digital Infrastructure,ICT and web standards,Web specifications,Web Content Accessibility Guidelines (WCAG) 2.1,W3C WCAG21,wcag21,W3C (World Wide Web Consortium),W3C,International,Global,2018,2018,Active,Voluntary,"Web development, browsers, digital standards",W3C standards define interoperable web technologies used by billions of users globally.,Technical Specification,https://www.w3.org/WAI/WCAG21/Recommendation/,W3C Technical Reports (live harvest),W3C status: Recommendation
