sigma_id,entry_type,meta_layer,domain,sub_domain,name_full,name_short,standard_id,issuer,issuer_type,governance_layer,geographic_scope,year_published,year_first,status,mandate,sector_applicability,why_it_matters,key_outputs,official_url,data_source,notes
UN-UDHR-1948-1948,Treaty,L1 Global Governance,Human Rights and Protection,UN Treaties,Universal Declaration of Human Rights,UDHR,UDHR-1948,United Nations,UN,International,Global,1948,1948,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Human Rights and Protection. Search UN Treaty Collection for full text and signatory status.
UN-ICCPR-1966-1966,Treaty,L1 Global Governance,Human Rights and Protection,UN Treaties,International Covenant on Civil and Political Rights,ICCPR,ICCPR-1966,United Nations,UN,International,Global,1966,1966,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Human Rights and Protection. Search UN Treaty Collection for full text and signatory status.
UN-CEDAW-1979-1979,Treaty,L1 Global Governance,Human Rights and Protection,UN Treaties,Convention on the Elimination of All Forms of Discrimination Against Women,CEDAW,CEDAW-1979,United Nations,UN,International,Global,1979,1979,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Human Rights and Protection. Search UN Treaty Collection for full text and signatory status.
UN-UNFCCC-1992-1992,Treaty,L1 Global Governance,Environment and Climate,UN Treaties,United Nations Framework Convention on Climate Change,UNFCCC,UNFCCC-1992,United Nations,UN,International,Global,1992,1992,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Environment and Climate. Search UN Treaty Collection for full text and signatory status.
UN-PARIS-2015-2015,Treaty,L1 Global Governance,Environment and Climate,UN Treaties,Paris Agreement,Paris Agreement,PARIS-2015,United Nations,UN,International,Global,2015,2015,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Environment and Climate. Search UN Treaty Collection for full text and signatory status.
UN-CBD-1992-1992,Treaty,L1 Global Governance,Biodiversity and Conservation,UN Treaties,Convention on Biological Diversity,CBD,CBD-1992,United Nations,UN,International,Global,1992,1992,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Biodiversity and Conservation. Search UN Treaty Collection for full text and signatory status.
UN-UNCLOS-1982-1982,Treaty,L1 Global Governance,Marine and Ocean Governance,UN Treaties,United Nations Convention on the Law of the Sea,UNCLOS,UNCLOS-1982,United Nations,UN,International,Global,1982,1982,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Marine and Ocean Governance. Search UN Treaty Collection for full text and signatory status.
UN-GC-1949-1949,Treaty,L1 Global Governance,Humanitarian and Relief,UN Treaties,Geneva Conventions,Geneva Conventions,GC-1949,United Nations,UN,International,Global,1949,1949,Active,Treaty-binding,All countries that are parties to the treaty,UN treaties establish binding international legal frameworks on critical global issues.,Multilateral Treaty,https://treaties.un.org/,UN Treaty Collection (live harvest),Domain: Humanitarian and Relief. Search UN Treaty Collection for full text and signatory status.
